Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_brutus_enraged,,loaded,custom\Super_mario_galaxy_bowser\Bowser7.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,,,80,80,450,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,,3d,default,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_brutus_enraged,,loaded,custom\Super_mario_galaxy_bowser\Bowser11.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,,,80,80,450,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,,3d,default,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_brutus_enraged,,loaded,custom\Super_mario_galaxy_bowser\Bowser13.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,,,80,80,450,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,,3d,default,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_brutus_enraged,,loaded,custom\Super_mario_galaxy_bowser\Bowser30.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,,,80,80,450,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,,3d,default,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_brutus_enraged,,loaded,custom\Super_mario_galaxy_bowser\Bowser36.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,,,80,80,450,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,,3d,default,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_brutus_exert,,loaded,custom\Super_mario_galaxy_bowser\Bowser19.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,,,80,80,450,2000,3000,allon,default,allon,default,8,priority,8,oldest,0,0,80,100,0,0.7,,3d,default,,nonlooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
