physpreset,book
physpreset,can_small
physpreset,cardboardbox_empty
physpreset,electroball_grenade_broken
physpreset,mechz_detached_115_gun
physpreset,mechz_faceplate
physpreset,mechz_knee_armor
physpreset,mechz_powercap_cover
physpreset,mechz_shoulder_armor
physpreset,p7_bottle_glass_liquor_01
physpreset,p7_bottle_glass_liquor_02
physpreset,p7_bottle_glass_liquor_04
physpreset,p7_brick_worn_painted_white_01
physpreset,p7_coffee_maker_digital_pot
physpreset,p7_cup_coffee_mug
physpreset,p7_food_fruit
physpreset,p7_lab_chemistry_set_beaker
physpreset,p7_skulls_bones_head_01
xanim,ai_combat_basic_trv_mantle_across_48x64
xanim,ai_direwolf_base_idle_howl
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_crawler_loop
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_intro
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_locomotion_f_notrans
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_loop
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_loop_alt_a
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_loop_alt_b
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_outro
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_react_intro_ground
xanim,ai_zm_dlc1_chomper_a_demongate_swarm_react_loop_ground
xanim,ai_zm_dlc1_soldat_arrive
xanim,ai_zm_dlc1_soldat_arrive_2
xanim,ai_zm_dlc1_soldat_berserk
xanim,ai_zm_dlc1_soldat_berserk_2
xanim,ai_zm_dlc1_soldat_chaingun_aim_2
xanim,ai_zm_dlc1_soldat_chaingun_aim_4
xanim,ai_zm_dlc1_soldat_chaingun_aim_6
xanim,ai_zm_dlc1_soldat_chaingun_aim_8
xanim,ai_zm_dlc1_soldat_chaingun_aim_idle
xanim,ai_zm_dlc1_soldat_chaingun_destroyed_pain
xanim,ai_zm_dlc1_soldat_chaingun_fire
xanim,ai_zm_dlc1_soldat_chaingun_intro_sprint_to_aim_5
xanim,ai_zm_dlc1_soldat_death
xanim,ai_zm_dlc1_soldat_death_2
xanim,ai_zm_dlc1_soldat_exit
xanim,ai_zm_dlc1_soldat_exit_hover
xanim,ai_zm_dlc1_soldat_ft_aim_2
xanim,ai_zm_dlc1_soldat_ft_aim_4
xanim,ai_zm_dlc1_soldat_ft_aim_6
xanim,ai_zm_dlc1_soldat_ft_aim_8
xanim,ai_zm_dlc1_soldat_ft_aim_idle
xanim,ai_zm_dlc1_soldat_ft_run
xanim,ai_zm_dlc1_soldat_ft_run_aim_2
xanim,ai_zm_dlc1_soldat_ft_run_aim_4
xanim,ai_zm_dlc1_soldat_ft_run_aim_6
xanim,ai_zm_dlc1_soldat_ft_run_aim_8
xanim,ai_zm_dlc1_soldat_ft_sweep
xanim,ai_zm_dlc1_soldat_ft_sweep_up
xanim,ai_zm_dlc1_soldat_head_stun_intro
xanim,ai_zm_dlc1_soldat_head_stun_loop
xanim,ai_zm_dlc1_soldat_head_stun_outro
xanim,ai_zm_dlc1_soldat_injury_down_by_footstep_loop
xanim,ai_zm_dlc1_soldat_injury_down_by_tank_loop
